Full Ticker,TICKER_AND_EXCH_CODE,NAME,Crncy
EURUSD Curncy,#N/A Field Not Applicable,EUR-USD X-RATE,USD
EURUSD ECB Curncy,#N/A Field Not Applicable,EUR-USD X-RATE,USD
MXWO Index,#N/A Field Not Applicable,MSCI WORLD,USD
MSEIAFUG Index,#N/A Field Not Applicable,MSCI All Country World +,USD
MSDUWI Index,#N/A Field Not Applicable,MSCI World USD,USD
MXWO Index,#N/A Field Not Applicable,MSCI WORLD,USD
MXWD Index,#N/A Field Not Applicable,MSCI ACWI,USD
MXEF Index,#N/A Field Not Applicable,MSCI EM,USD
LBEATREU Index,#N/A Field Not Applicable,Euro-Aggregate,EUR
JPMGEMUI Index,#N/A Field Not Applicable,J.P. Morgan EMU Investment Gra,EUR
LF98TRUU Index,#N/A Field Not Applicable,US Corporate High Yield,USD
H4DC Index,#N/A Field Not Applicable,BB-B Dev Mkts,USD
MSDEWIN Index,#N/A Field Not Applicable,MSCI Daily Net TR World,EUR
NDUEEGF Index,#N/A Field Not Applicable,MSCI Daily TR Net Emergi,USD
EEM UP Equity,EEM UP,ISHARES MSCI EMERGING MARKET,USD
RORA NA Equity,RORA NA,ROBECO GLOBAL TOTAL RETURN B,EUR
IBOXHY Index,#N/A Field Not Applicable,Liquid High Yield,USD
HYG UP Equity,HYG UP,ISHARES IBOXX HIGH YLD CORP,USD
VIX Index,#N/A Field Not Applicable,CBOE Volatility Index,USD
VDAX Index,#N/A Field Not Applicable,GERM VDAX VOLATILITY IDX,EUR
